Tempo	HP	VCAS	XGPS	YGPS	ZGPS	MagHead	NZ	Gyx	Gyy	Gyz	NX	NY	MagX	MagY	MagZ	Pressao	Temperatura	Latitude	Longitude	HeadGPS	VelocidadeGPS	VelocidadeSubidaGPS	TemGPS	LatitudeHome	LongitudeHome	SatelitesUsados	temTempo	DAlvo	DAlvo_DRPitot	DAlvo_DRGPS	PosPayloadDrop_Pitot	PosPayloadDrop_GPS	LancamentoAutomaticoPlanador	LancamentoAutomaticoCarga	altitudeLiberaPlanadores	altitudeLiberaCarga	
segundos	ft	m/s	m	m	m	deg	g	deg/s	deg/s	deg/s	g	g	nlembro	nlembro	nlembro	mBar	C	deg	deg	nsei	m/s	m/s	m	deg	deg	num	bit	m	m	m	m	m	bin	bin	bin	bin	
64702.015	1832.492	2.568	0.000	0.000	577.700	21.961	-1.010	-0.602	1.047	-0.148	0.064	-0.053	6.200	-2.500	-50.300	951.665	28.219	-23.217418	-45.969329	0.000	0.039	0.141	1.000	-23.217418	-45.969329	12.000	1.0	0.000	1000.000	1000.000	997.567	1000.000	0.000	0.000	0.000	0.000	
64702.082	1832.492	1.746	0.000	0.000	577.700	36.784	-1.009	-0.602	1.156	-0.258	0.061	-0.061	10.700	-8.000	-48.700	951.665	28.219	-23.217418	-45.969329	0.000	0.039	0.141	1.000	-23.217418	-45.969329	12.000	1.0	61.577	1000.000	1000.000	59.747	61.536	0.000	0.000	0.000	0.000	
64702.148	1832.771	2.275	0.000	0.000	577.700	36.784	-1.009	-0.602	1.156	-0.258	0.061	-0.061	10.700	-8.000	-48.700	951.657	28.223	-23.217418	-45.969329	0.000	0.039	0.141	1.000	-23.217418	-45.969329	12.000	1.0	61.577	61.577	61.577	59.747	61.682	0.000	0.000	0.000	0.000	
64702.215	1833.357	2.515	0.000	0.000	577.700	16.440	-1.009	-0.891	1.070	-0.594	0.071	-0.047	6.100	-1.800	-50.300	951.638	28.221	-23.217418	-45.969329	0.000	0.039	0.141	0.000	-23.217418	-45.969329	12.000	1.0	61.577	61.728	61.580	59.005	61.682	0.000	0.000	0.000	0.000	
64702.315	1833.168	2.115	0.000	0.000	577.700	27.440	-1.011	-0.609	1.055	0.063	0.069	-0.061	5.200	-2.700	-50.700	951.643	28.217	-23.217418	-45.969329	0.000	0.039	0.141	1.000	-23.217418	-45.969329	12.000	1.0	61.577	61.905	61.583	58.976	61.860	0.000	0.000	0.000	0.000	
64702.401	1832.771	2.786	0.000	0.000	577.700	28.610	-1.011	-0.734	0.711	-0.523	0.065	-0.057	5.500	-3.000	-49.700	951.657	28.223	-23.217418	-45.969329	0.000	0.039	0.141	1.000	-23.217418	-45.969329	12.000	1.0	61.577	62.112	61.586	59.894	62.071	0.000	0.000	0.000	0.000	
64702.473	1833.714	2.658	0.000	0.000	577.700	35.293	-1.010	-0.922	0.883	-0.320	0.068	-0.043	8.900	-6.300	-48.900	951.626	28.223	-23.217418	-45.969329	0.000	0.039	0.141	1.000	-23.217418	-45.969329	12.000	1.0	61.577	62.351	61.590	58.877	62.302	0.000	0.000	0.000	0.000	
64702.535	1833.714	2.141	0.000	0.000	577.700	23.575	-1.013	-0.547	1.320	-0.094	0.075	-0.060	5.500	-2.400	-49.900	951.626	28.223	-23.217418	-45.969329	0.000	0.039	0.141	1.000	-23.217418	-45.969329	12.000	1.0	61.577	62.351	61.590	59.991	62.587	0.000	0.000	0.000	0.000	
64702.606	1833.624	2.141	0.000	0.000	577.700	23.334	-1.008	-1.305	0.977	-0.117	0.058	-0.057	5.100	-2.200	-50.100	951.629	28.223	-23.217418	-45.969329	0.000	0.039	0.141	0.000	-23.217418	-45.969329	12.000	1.0	61.577	62.636	61.595	59.991	62.587	0.000	0.000	0.000	0.000	
